fixed acidity,volatile acidity,var1,var2,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,var3
8.4,0.27,-0.47086439723555973,-0.24422430645192494,0.037000000000000005,36.0,129.0,0.99085,2.89,0.3,-0.39314679171446243
6.8,0.36,-0.36270572433061243,-0.05149164627612102,0.039,24.0,124.0,0.9909,3.27,0.34,-0.2165499451971633
5.1,0.14,-0.7614557990461464,-0.7234906457510899,0.039,15.0,89.0,0.9919,3.22,0.43,-0.7893369482746067
6.4,0.24,-0.34360995578131714,-0.3523261450930859,0.047,60.0,211.0,0.9966,3.18,0.57,-0.42018943789385665
6.5,0.22,-0.4895059176733758,-0.5736509271656773,0.05,44.0,138.0,1.0001,3.3,0.37,-0.5460038313139177
6.9,0.22,-0.4125736267365514,-0.22798757839741413,0.040999999999999995,20.0,119.0,0.9929600000000001,3.17,0.55,-0.3541656623674282
6.9,0.26,-0.3632060292480278,-0.2808877349016361,0.044000000000000004,33.0,139.0,0.9951700000000001,3.06,0.5,-0.36481735241435
6.8,0.32,-0.7456292226058977,-0.6988148949597335,0.044000000000000004,15.0,68.0,0.9932,3.17,0.39,-0.7562726741031904
8.3,0.2,-0.46115223192720756,-0.3479435598959322,0.04,34.0,169.0,0.9938,3.05,0.37,-0.4899307433760186
6.0,0.44,-0.36526877865743745,-0.03717354492739289,0.053,57.0,128.0,0.98982,3.22,0.39,-0.21712204535133506
7.5,0.18,-0.24357313651644497,-0.2737420847220875,0.039,53.0,151.0,0.99802,3.03,0.46,-0.38223167103526967
5.9,0.65,-0.3435916343219766,-0.017320551030473474,0.035,20.0,128.0,0.99016,3.46,0.48,-0.1854607449550557
5.5,0.16,-0.46414209561944375,-0.18807455175520338,0.032,35.0,100.0,0.9907600000000001,3.43,0.77,-0.35103215657348275
7.5,0.42,-0.26830467760044663,0.06294351332748116,0.04,34.0,108.0,0.99155,3.14,0.45,-0.13112478765698143
8.1,0.28,-0.4349721106590275,-0.35052434648424047,0.05,30.0,97.0,0.9951,3.26,0.44,-0.44890612141593533
6.6,0.22,-0.4791522794687938,-0.5224835563208439,0.046,39.0,118.0,0.99834,3.05,0.5,-0.5266984894111217
6.2,0.41,-0.3908719216326557,-0.030869647211657414,0.023,5.0,56.0,0.9892799999999999,3.04,0.79,-0.2190283345037648
5.9,0.37,-0.34541487605679966,-0.008638817733444215,0.028999999999999998,41.0,102.0,0.98916,3.41,0.55,-0.20814083525178895
7.0,0.26,-0.4541323540956319,-0.37476990839023183,0.039,37.0,184.0,0.99787,3.47,0.58,-0.43265786759492886
6.4,0.31,-0.3838273314869993,-0.323756794721338,0.045,55.0,161.0,0.99546,3.02,0.59,-0.37819527298888156
6.4,0.34,-0.4368383861672719,-0.4107874082344427,0.043,54.0,201.0,0.99551,3.18,0.48,-0.4898750903852632
4.8,0.17,-0.49000306772858904,-0.2817437914248664,0.03,22.0,111.0,0.9902,3.38,0.34,-0.41729174130496505
7.1,0.4,-0.5816290461270246,-0.5870763015073641,0.14800000000000002,45.0,149.0,0.9946799999999999,3.08,0.56,-0.6876799025541411
7.4,0.25,-0.43301986098059053,-0.23079560286407252,0.05,24.0,132.0,0.9913799999999999,3.04,0.53,-0.38270438921554695
7.5,0.28,-0.5135740746186261,-0.3818305477494399,0.044000000000000004,11.0,126.0,0.99293,3.28,0.45,-0.5164267112881191
7.0,0.28,-0.2189616699648559,0.09365324179877987,0.032,30.0,114.0,0.9915799999999999,3.12,0.64,-0.0796220872474277
8.2,0.2,-0.2899633489309209,-0.06522962281104383,0.057,14.0,108.0,0.9928,3.19,0.35,-0.24797323684804995
6.4,0.15,-0.4758247584048818,-0.2867491802079356,0.034,43.0,150.0,0.9922,3.42,0.69,-0.4334133578179985
6.6,0.3,-0.4663552940863551,-0.32890610437388235,0.036000000000000004,21.0,124.0,0.9936200000000001,3.06,0.38,-0.4159608516172153
7.0,0.12,-0.5919152765430511,-0.5488817564651247,0.057,17.0,103.0,0.9957,3.5,0.44,-0.607910326545216
6.4,0.15,-0.5978824319326843,-0.4662011455067194,0.044000000000000004,25.0,96.0,0.9932,3.54,0.51,-0.5812734897688493
6.3,0.24,-0.35030771634495705,-0.057294414939426996,0.031,6.0,61.0,0.9897,3.3,0.34,-0.24840776744846393
5.9,0.24,-0.3637339793807701,-0.00850487967588709,0.032,36.0,95.0,0.9888899999999999,3.08,0.64,-0.20832862440136424
6.1,0.4,-0.6799867981978267,-0.6164549417888752,0.048,23.0,170.0,0.993,3.22,0.77,-0.7042284167323116
7.4,0.14,-0.5727735061114332,-0.41631605231752755,0.033,25.0,91.0,0.9926799999999999,3.53,0.39,-0.5389714315714331
6.8,0.18,-0.45983865407344116,-0.3494103966578139,0.057999999999999996,64.0,188.0,0.9952,3.13,0.51,-0.41863906208934665
7.2,0.2,-0.17757174220711547,-0.21824094259957905,0.043,14.0,103.0,0.9987,3.06,0.36,-0.2828521591416162
6.5,0.36,-0.19269857171988236,0.04695755142746472,0.027999999999999997,20.0,82.0,0.99274,3.1,0.43,-0.10202379313030618
6.1,0.3,-0.3075119329620106,-0.12963168051462093,0.046,46.0,184.0,0.9924,3.31,0.57,-0.30939064825834817
6.6,0.56,-0.6398463759976426,-0.6546230393360295,0.034,27.0,133.0,0.99675,3.2,0.51,-0.6711084895701402
6.6,0.27,-0.3743238540597458,-0.3468358585346123,0.044000000000000004,53.0,202.0,0.9954799999999999,3.18,0.48,-0.442800743413711
8.5,0.19,-0.42700655216298855,-0.3234017471621333,0.044000000000000004,29.0,117.0,0.9938,3.14,0.51,-0.4566786800550273
7.2,0.2,-0.6697928746377375,-0.6347984201518031,0.044000000000000004,31.0,109.0,0.9949,3.23,0.36,-0.6893230846150091
7.4,0.24,-0.5469678948482519,-0.519436030451764,0.042,26.0,81.0,0.9954,2.86,0.36,-0.5484112363033018
7.1,0.24,-0.4837319297770599,-0.2743767983375289,0.045,6.0,132.0,0.9913200000000001,3.16,0.46,-0.42691273656539286
7.3,0.43,-0.19930421218088568,0.165290398452816,0.027999999999999997,17.0,114.0,0.991,3.23,0.43,-0.04760701903939857
6.6,0.23,-0.6230343915273572,-0.5850310337431432,0.043,43.0,164.0,0.9953,3.27,0.76,-0.6418644266388602
6.8,0.22,-0.46602069820023073,-0.3761820362620736,0.046,82.0,188.0,0.9955,3.3,0.44,-0.44941163633356696
5.9,0.34,-0.2932878085092817,0.14191531721787554,0.03,19.0,135.0,0.9894,3.41,0.78,-0.07562386532916288
7.7,0.18,-0.48630731117642756,-0.38790311974546854,0.055,25.0,144.0,0.9957600000000001,3.24,0.54,-0.48489534751032115
6.8,0.38,-0.3295852733386544,-0.14125730355347366,0.037000000000000005,40.0,146.0,0.99326,3.11,0.37,-0.25204788793021027
6.1,0.28,-0.3945493628486336,-0.45075309984601475,0.07400000000000001,32.0,174.0,0.9992200000000001,3.19,0.44,-0.4249322832453154
6.5,0.18,-0.31661637482348526,-0.4289220406197951,0.054000000000000006,56.0,183.0,1.0003799999999998,2.98,0.61,-0.4334505536360308
6.5,0.36,-0.293186545280802,-0.1673675452557324,0.053,20.0,113.0,0.99544,3.2,0.56,-0.24692733019517144
6.8,0.16,-0.6403282660790668,-0.4705896256744342,0.046,31.0,114.0,0.99226,3.27,0.55,-0.573302209734397
8.0,0.2,-0.4182768070598134,-0.28149839505188345,0.055,41.0,167.0,0.9953,3.18,0.4,-0.40577318959755415
6.7,0.13,-0.32846783108710653,-0.1252248084461316,0.043,52.0,131.0,0.9916200000000001,3.06,0.54,-0.2893177841165282
6.4,0.46,-0.39277820463642477,-0.31737174062047724,0.047,51.0,183.0,0.998275,3.39,0.6,-0.35525750899552466
6.2,0.33,-0.688501747940496,-0.627329951560958,0.042,26.0,138.0,0.9956,3.77,0.64,-0.7090694902833266
6.0,0.31,-0.5584203155460943,-0.538108222196549,0.175,47.0,159.0,0.9952,3.19,0.5,-0.5929438425863114
6.8,0.26,-0.5019006192511835,-0.4898706704402631,0.046,45.0,179.0,0.9958299999999999,3.2,0.49,-0.5570823535700681
6.5,0.4,-0.3859452549890723,-0.11998400610199811,0.046,22.0,147.0,0.99024,3.15,0.31,-0.2835093671609602
6.0,0.32,-0.23864671479515787,0.0020453844672916333,0.032,22.0,90.0,0.9925799999999999,3.1,0.43,-0.1381418560730039
6.8,0.27,-0.5570145242130409,-0.6378500338622402,0.076,50.0,163.0,0.9979,3.03,0.38,-0.6276720635399959
6.3,0.28,-0.2647409552697958,-0.014332055298932556,0.038,44.0,129.0,0.9924799999999999,3.26,0.29,-0.16527870891615515
7.5,0.33,-0.2597437320986118,-0.3538296489534456,0.048,55.0,243.0,1.001,2.95,0.4,-0.36194157432119733
7.2,0.21,-0.15000992349106512,-0.10570893701992601,0.154,46.0,114.0,0.9931,2.95,0.43,-0.32330681503195724
7.7,0.49,0.4750181916608769,0.6628706092240753,0.03,28.0,135.0,0.9973,3.24,0.4,0.43586138884774095
6.3,0.18,-0.6143475868209531,-0.5336485684556274,0.047,45.0,147.0,0.9938299999999999,3.09,0.54,-0.597902820739853
5.9,0.34,-0.5214414252485804,-0.300066950669412,0.042,12.0,110.0,0.99034,3.02,0.54,-0.4373558727413388
6.8,0.25,-0.4251834038048158,-0.4105073886836603,0.05,69.0,202.0,0.9972,3.22,0.48,-0.445343583872423
7.0,0.21,-0.45598630253133376,-0.30718854738376655,0.046,29.0,108.0,0.9939,3.26,0.5,-0.4162163257735002
6.6,0.42,-0.6481158236789271,-0.6933693344793814,0.044000000000000004,26.0,158.0,0.99772,3.24,0.47,-0.6690067783328586
5.2,0.31,-0.39748988916620165,-0.04038122294297364,0.027000000000000003,27.0,117.0,0.9888600000000001,3.56,0.45,-0.2220220712036135
4.7,0.145,-0.5179942904123505,-0.29948466523185724,0.042,35.0,90.0,0.9908,3.76,0.49,-0.44627593099928275
6.3,0.67,-0.34074301226924664,-0.35502055062056925,0.052000000000000005,57.0,222.0,0.9979,3.17,0.52,-0.41394649033787445
6.9,0.28,-0.4528001164835783,-0.327709070944723,0.04,47.0,168.0,0.9946,3.29,0.57,-0.42386334687478877
6.5,0.38,-0.36458735318929625,-0.08230489417160558,0.042,33.0,112.0,0.99067,3.06,0.5,-0.2379580981074102
5.9,0.29,-0.46667444324538976,-0.23265607811591127,0.022000000000000002,17.0,47.0,0.9899,3.35,0.35,-0.39072588884581616
6.6,0.16,-0.3122667446418592,-9.866108847234045e-06,0.044000000000000004,48.0,143.0,0.9912,3.54,0.52,-0.20578908325316048
6.2,0.28,-0.3944417317267548,-0.23917915811568613,0.043,50.0,188.0,0.99318,3.23,0.64,-0.3735375895067641
8.8,0.28,-0.3138997517846116,-0.13756472776248851,0.022000000000000002,14.0,49.0,0.9934,3.01,0.33,-0.28588078411081963
5.0,0.33,-0.567635163761891,-0.39553174048281403,0.032,40.0,124.0,0.9911399999999999,3.18,0.4,-0.4917617145864618
6.5,0.38,-0.4346374213962527,-0.3193763701479335,0.142,5.0,69.0,0.9926,3.14,0.52,-0.47101191201815795
6.8,0.22,-0.5628250846127287,-0.4067882453091862,0.053,34.0,114.0,0.9929,3.39,0.77,-0.5310088842424271
5.8,0.27,-0.433505028385365,-0.38561449952894344,0.044000000000000004,22.0,179.0,0.9962,3.37,0.37,-0.4075921827962127
5.6,0.2,-0.5604338852496384,-0.46161380217334713,0.048,16.0,125.0,0.99282,3.49,0.49,-0.5695573164362474
6.2,0.3,-0.6075116108957039,-0.4935550705485341,0.052000000000000005,32.0,185.0,0.99266,3.28,0.44,-0.603126005755126
6.4,0.3,-0.7245015628937175,-0.7411382197372876,0.05,55.0,191.0,0.9959,3.17,0.49,-0.7485700000111468
6.6,0.24,-0.5010810717980834,-0.27830069984822114,0.027999999999999997,39.0,132.0,0.99182,3.34,0.46,-0.4227049150101517
6.1,0.41,-0.8506325292565773,-0.7576758116500125,0.036000000000000004,23.0,121.0,0.9922799999999999,3.24,0.61,-0.8023196255987564
7.0,0.14,-0.4624292020699474,-0.2766390877620395,0.037000000000000005,22.0,95.0,0.9914,3.25,0.43,-0.4343708687469364
7.2,0.21,-0.47815766402076143,-0.2708525503757586,0.044000000000000004,39.0,122.0,0.9914299999999999,3.0,0.6,-0.4074818571247929
6.8,0.26,-0.4384161258407101,-0.4299769603086825,0.037000000000000005,49.0,173.0,0.9960100000000001,3.17,0.47,-0.5056123958936998
5.9,0.23,-0.5370807933746544,-0.3136850598000531,0.037000000000000005,32.0,115.0,0.9907600000000001,3.21,0.51,-0.4508604306238433
5.6,0.21,-0.39437111090700183,-0.15026366239100342,0.040999999999999995,81.0,147.0,0.9901,3.22,0.95,-0.3287440102166229
6.5,0.34,-0.46771199909019334,-0.4748079708837305,0.052000000000000005,53.0,247.0,0.9984,3.44,0.55,-0.516886405690611
7.0,0.25,-0.30577769167527724,-0.04048485907023025,0.045,40.0,118.0,0.99064,3.16,0.48,-0.23497199434283822
7.1,0.47,-0.6200231800978837,-0.5671886844326453,0.044000000000000004,11.0,77.0,0.9956,3.21,0.56,-0.6230056473524326
6.2,0.2,-0.5511484162140887,-0.5152747881623994,0.065,17.0,143.0,0.9937,3.22,0.52,-0.625945865145956
7.6,0.27,-0.45232134605670116,-0.4328721562194304,0.05,45.0,199.0,0.9984,3.34,0.5,-0.4560432939748231
6.3,0.3,-0.6282188873048679,-0.595889812238201,0.04,38.0,141.0,0.995,3.22,0.47,-0.6417366895607179
6.5,0.22,-0.47173611221938505,-0.47911336744871247,0.053,52.0,196.0,0.9959,3.23,0.48,-0.5470846802403206
5.7,0.32,-0.6283385944538361,-0.4391616297873455,0.028999999999999998,26.0,104.0,0.9906,3.44,0.37,-0.5508764938237796
6.1,0.21,-0.6692311563185647,-0.5232015869451598,0.046,51.0,131.0,0.9918399999999999,3.22,0.39,-0.6192989416341459
6.5,0.18,-0.44677760024798086,-0.21360046409922884,0.04,43.0,148.0,0.9912,3.32,0.59,-0.3748007941878042
6.3,0.32,-0.38646705918937063,-0.0837657158745222,0.037000000000000005,12.0,76.0,0.98993,3.3,0.46,-0.26961829873351995
7.4,0.31,-0.5929742382940875,-0.44699536215545477,0.05,33.0,137.0,0.9929,3.31,0.56,-0.5605673736312553
6.6,0.27,-0.5832560588829787,-0.5174699918550603,0.045,57.0,189.0,0.9953,3.31,0.79,-0.5904534212637556
5.0,0.24,-0.5204868172960726,-0.27467497638294414,0.039,31.0,100.0,0.99098,3.69,0.62,-0.41339944597744227
7.7,0.27,-0.3000162176048047,-0.02590296944774506,0.03,30.0,117.0,0.992,3.11,0.42,-0.1959813986133272
7.3,0.19,-0.6209225205810777,-0.47421534913971186,0.051,41.0,107.0,0.99382,3.53,0.66,-0.5826076787671072
7.6,0.22,-0.522942491546472,-0.5449294802417393,0.055999999999999994,68.0,143.0,0.9983,2.99,0.3,-0.5622422526593088
5.2,0.6,-0.7379278259295308,-0.6923486844737479,0.044000000000000004,33.0,147.0,0.9944,3.33,0.58,-0.7084908569640473
6.6,0.24,-0.7027076443105349,-0.6422952634553407,0.057,33.0,152.0,0.9934,3.22,0.56,-0.7194525743878399
7.1,0.28,-0.3439506975998855,-0.0688856482066218,0.027999999999999997,35.0,91.0,0.9902200000000001,2.96,0.33,-0.24414099359195962
6.7,0.22,-0.47220576860491703,-0.2456594392549476,0.036000000000000004,36.0,86.0,0.9905799999999999,3.1,0.76,-0.40321288372794994
6.6,0.34,-0.4660467254192887,-0.43558790113296886,0.046,68.0,170.0,0.9949399999999999,3.15,0.5,-0.5087295033189677
8.2,0.34,-0.28290955136726903,-0.151402019177169,0.046,55.0,223.0,0.996,3.08,0.52,-0.28410333180670166
6.8,0.32,-0.5424647311622317,-0.38502199448799557,0.044000000000000004,14.0,67.0,0.9919,3.05,0.47,-0.51635792651124
6.4,0.42,-0.397363942708139,-0.35485006216760473,0.05,58.0,180.0,0.99495,3.18,0.46,-0.4441349324119688
6.8,0.23,-0.48829329383364006,-0.29143799904481504,0.047,20.0,101.0,0.9914,3.1,0.46,-0.43500412074271055
6.7,0.24,-0.41634921152646165,-0.41745849694505055,0.05,64.0,205.0,0.997,3.15,0.5,-0.4543924789786785
5.4,0.5,-0.35558442560175463,0.03012178146932465,0.027999999999999997,12.0,107.0,0.99079,3.48,0.88,-0.14226012812996514
6.1,0.25,-0.5550928878588324,-0.38079775430813845,0.036000000000000004,42.0,107.0,0.991,3.34,0.56,-0.5110037051073166
6.9,0.23,-0.385362037387016,-0.2740015517483456,0.047,47.0,162.0,0.9954,3.34,0.52,-0.37564369982472334
6.4,0.18,-0.5038834822538489,-0.4722758781264973,0.18600000000000003,64.0,150.0,0.9945,3.06,0.4,-0.572817459538166
7.1,0.17,-0.38774097396971596,-0.4306303026163729,0.047,47.0,156.0,0.99945,3.34,0.78,-0.45666016887813476
6.0,0.26,-0.8716404818197893,-0.8720806693233141,0.053,35.0,124.0,0.9934700000000001,3.08,0.46,-0.9008824954277384
8.2,0.26,-0.4992085569807446,-0.37577829487179404,0.046,7.0,69.0,0.9944,3.14,0.62,-0.5129886115122411
6.8,0.37,-0.3851410027174159,-0.4007138661839542,0.071,44.0,136.0,0.9968,2.98,0.88,-0.4608319483896822
6.8,0.19,-0.382209584318036,-0.07832821098848064,0.031,22.0,87.0,0.98987,3.08,0.62,-0.2671977619580126
5.6,0.185,-0.4529565247202233,-0.31924243209037617,0.03,28.0,117.0,0.9918,3.55,0.45,-0.471199701167733
6.0,0.36,-0.7366629961060327,-0.7346497629153119,0.053,26.0,173.0,0.9941399999999999,3.38,0.54,-0.798771254155628
6.5,0.32,-0.32005732851961655,-0.06549533830240883,0.044000000000000004,27.0,91.0,0.9918399999999999,3.28,0.6,-0.22452232500178482
6.8,0.18,-0.4930418662043943,-0.31955684141281604,0.027000000000000003,37.0,93.0,0.992,3.3,0.45,-0.46265522120893954
7.6,0.38,-0.338087896008781,-0.024287890568889026,0.028999999999999998,7.0,112.0,0.9906,3.0,0.41,-0.19947845069046877
7.0,0.31,-0.2797142512781685,-0.043631699819068226,0.036000000000000004,45.0,140.0,0.99216,2.98,0.31,-0.1800585034956541
9.2,0.23,-0.5961450709914036,-0.4559246524492164,0.031,40.0,99.0,0.9929,2.94,0.3,-0.5724811685890479
8.5,0.28,-0.37196657442873193,-0.3423153675269477,0.040999999999999995,32.0,161.0,0.9981,3.13,0.4,-0.38794620486778997
6.9,0.32,-0.5241333941423689,-0.33573541801338336,0.036000000000000004,28.0,117.0,0.99269,3.24,0.48,-0.4701046206850372
6.2,0.27,-0.4226663161526589,-0.25805214024373657,0.048,47.0,159.0,0.99282,3.21,0.6,-0.37474404142687956
6.9,0.45,-0.34644322448360765,-0.04407595935770825,0.035,17.0,80.0,0.9905799999999999,3.12,0.36,-0.2112645085701188
6.2,0.18,-0.2612047266088263,-0.03315441637830019,0.047,17.0,90.0,0.9919,3.27,0.37,-0.2145923366787471
6.7,0.325,-0.293038848494403,-0.2513042163955028,0.152,49.0,120.0,0.9931200000000001,2.99,0.38,-0.4315332667819073
6.3,0.27,-0.550252288762092,-0.6078017032929426,0.044000000000000004,59.0,196.0,0.99782,3.14,0.4,-0.6120624951097015
7.1,0.23,-0.42170556226770706,-0.46882473095554156,0.057999999999999996,26.0,172.0,0.99755,2.9,0.46,-0.4933852742485283
6.8,0.22,-0.7485667869377214,-0.7850359851569337,0.092,30.0,123.0,0.9951,3.03,0.46,-0.8073092009493141
7.4,0.26,-0.4569869705351598,-0.2442310801060812,0.048,14.0,73.0,0.9915,3.06,0.45,-0.38149030436015463
6.4,0.3,-0.38150057180356356,-0.10348885955524145,0.055,17.0,135.0,0.9925,3.23,0.44,-0.2615291140965412
6.5,0.32,-0.4827620618507631,-0.35685854613027645,0.051,20.0,138.0,0.9943,3.03,0.42,-0.4338621199747055
5.4,0.415,-0.714381193054628,-0.6126790489890155,0.039,27.0,88.0,0.99265,3.54,0.41,-0.6901419262200196
7.2,0.36,-0.2550104487861443,0.04303773775812969,0.038,26.0,98.0,0.9914,2.93,0.59,-0.13775424575789885
5.1,0.29,-0.4169324291285178,-0.26344095129870304,0.026000000000000002,27.0,107.0,0.99308,3.36,0.37,-0.36225814631491515
7.4,0.3,-0.4643662208590934,-0.24336673119706576,0.053,33.0,180.0,0.9926,3.13,0.45,-0.36584799319667527
6.2,0.21,-0.5544575224420096,-0.3375796619881972,0.051,31.0,95.0,0.99036,3.24,0.57,-0.47315730968614933
6.7,0.23,-0.30793259639497794,-0.22024533872089358,0.047,52.0,171.0,0.9975799999999999,3.54,0.74,-0.31251762088718626
7.0,0.12,-0.5817918804260649,-0.5777168223282381,0.057999999999999996,22.0,89.0,0.9966,3.29,0.38,-0.6264535796039263
7.2,0.32,-0.16803770962462916,0.14310610218192843,0.044000000000000004,19.0,65.0,0.991,3.03,0.41,-0.06666341995101688
6.6,0.3,-0.22443136608482683,-0.1411763805744901,0.040999999999999995,36.0,159.0,0.9946,3.21,0.45,-0.31329277606148664
6.0,0.27,-0.4934624362607113,-0.3317465913945905,0.035,36.0,133.0,0.99215,3.23,0.46,-0.4544371997236487
4.8,0.21,-0.31978423941190026,-0.07339592299622621,0.037000000000000005,17.0,112.0,0.99324,3.66,0.48,-0.19107483959594163
6.8,0.37,-0.38070855322779906,-0.4336392341693671,0.044000000000000004,62.0,163.0,0.9976,3.19,0.44,-0.48491721200189053
8.3,0.16,-0.4496260707550648,-0.3192262008133513,0.057,31.0,98.0,0.9943,3.15,0.41,-0.4662308905385757
9.4,0.26,-0.203500180273812,0.12047754637240082,0.047,25.0,109.0,0.9921,3.23,0.28,-0.11692582593710055
6.7,0.3,-0.6480849302247476,-0.5954211457398215,0.18,36.0,160.0,0.9937,3.11,0.54,-0.6854384222227627
7.3,0.2,-0.5168891752333451,-0.4112965928811827,0.045,21.0,98.0,0.9924,3.15,0.46,-0.5409563379763571
6.1,0.28,-0.8714808605519468,-0.8809937283400509,0.06,36.0,126.0,0.9935299999999999,3.13,0.46,-0.9078274797563738
6.0,0.34,-0.39178046953384515,-0.14461106306227922,0.044000000000000004,13.0,116.0,0.99108,3.39,0.44,-0.3016672094449042
6.5,0.41,-0.26625104223238194,-0.30906151956581884,0.065,65.0,225.0,0.9978,3.12,0.51,-0.39051194413233203
7.3,0.19,-0.5341064697861584,-0.6009520705350593,0.057,45.0,155.0,0.9980700000000001,2.94,0.41,-0.5928881895955559
7.9,0.3,-0.19843692238804533,0.06662484924740042,0.048,13.0,106.0,0.99331,3.24,0.49,-0.1590106188343099
6.5,0.19,-0.5351960448614235,-0.3617421402914558,0.04,31.0,132.0,0.9922,3.36,0.54,-0.4950786104493047
6.8,0.27,-0.4612261591548087,-0.514836543682724,0.034,16.0,116.0,0.9989,3.07,0.53,-0.4917879781587092
6.0,0.39,-0.5588439118803079,-0.3930037355669376,0.038,39.0,187.0,0.99325,3.41,0.5,-0.5077544942511831
7.2,0.23,-0.23952758227336546,-0.013301422481380776,0.036000000000000004,17.0,85.0,0.99279,3.1,0.78,-0.18293103628246776
7.0,0.14,-0.3672055816087846,-0.10792819417778099,0.035,16.0,85.0,0.9911,3.19,0.42,-0.2915395994966756
6.8,0.3,-0.6380076875357299,-0.6143306782632789,0.12300000000000001,35.0,116.0,0.9953,3.07,0.48,-0.6566442212183592
7.6,0.35,-0.345304376325827,-0.3720817513278556,0.037000000000000005,42.0,116.0,0.9982200000000001,3.04,0.5,-0.4220378745151925
6.2,0.45,-0.6244832166338318,-0.5542340171246836,0.063,63.0,206.0,0.9940000000000001,3.27,0.52,-0.6254250843577704
8.1,0.26,-0.5082024639035916,-0.4383380358181648,0.049,39.0,152.0,0.9954,2.99,0.58,-0.5083397261914787
5.8,0.6,-0.7849502841062825,-0.6059246432695331,0.044000000000000004,72.0,197.0,0.9920200000000001,3.56,0.43,-0.6777051509337033
6.8,0.27,-0.6745998341323528,-0.7024122437123179,0.034,55.0,203.0,0.9961,3.19,0.52,-0.7157022476947522
5.5,0.32,-0.2956113551615197,-0.07879903811060984,0.027999999999999997,25.0,191.0,0.9922,3.51,0.49,-0.24657136284308245
6.7,0.24,-0.4123525920669511,-0.3546998928330223,0.036000000000000004,29.0,148.0,0.9952,3.22,0.62,-0.4393539109323865
5.7,0.33,-0.388364041398494,-0.08512914991528886,0.043,28.0,93.0,0.9897,3.31,0.5,-0.2714656355846863
4.8,0.33,-0.7841952115404913,-0.7194347334004474,0.027999999999999997,34.0,163.0,0.9937,3.35,0.61,-0.7307189512494742
6.3,0.23,-0.5809201560737001,-0.4297860360342649,0.039,37.0,116.0,0.9927,3.23,0.5,-0.5277258308829389
6.3,0.48,-0.2617418841595641,0.032513687703893845,0.035,35.0,96.0,0.99121,3.49,0.74,-0.1811404521922263
7.8,0.19,-0.5293302169924221,-0.47443861926510844,0.039,42.0,182.0,0.996,3.18,0.46,-0.5273873943976511
5.7,0.37,-0.4688906679901982,-0.21619339412320504,0.028999999999999998,24.0,88.0,0.9888299999999999,3.18,0.39,-0.37868325703971206
6.9,0.21,-0.25943353931211943,-0.16064787941712044,0.042,7.0,109.0,0.9935799999999999,2.96,0.59,-0.3105479803528157
8.1,0.2,-0.4202474363665867,-0.2144830882059483,0.037000000000000005,19.0,87.0,0.9921,3.12,0.54,-0.37544277888902466
6.6,0.36,-0.32340922359866275,-0.3216468352551587,0.046,8.0,110.0,0.9966,3.07,0.46,-0.3985934958340345
6.6,0.26,-0.6255820925037427,-0.6001627462491332,0.138,41.0,168.0,0.9951,3.2,0.38,-0.6619973428521131
6.8,0.26,-0.2885730043249576,-0.21394552884651508,0.06,42.0,162.0,0.99705,3.24,0.52,-0.2744856358567822
5.7,0.26,-0.37730139067943924,-0.05912242763721598,0.039,30.0,105.0,0.98995,3.48,0.52,-0.2464916458204186
7.4,0.28,-0.35206043063667725,-0.0381210941422121,0.027999999999999997,42.0,105.0,0.9893,2.99,0.39,-0.23763927256918427
